stimuli,emotion_stimuli,subject,emotion_subject
kikuguti_sur_fr_2_0,sur,10,sur
sirakura_sur_fr_1_0,sur,10,hap
nakatakuma_sur_au_mouth_2_0,sur,10,sur
nishio_ang_au_cl_2_0,ang,11,ang
ota_ang_au_cl_1_0,ang,11,ang
koyama_ang_au_cl_2_0,ang,11,ang
iwagami_ang_au_cl_1_0,ang,11,ang
henmi_ang_au_cl_4_0,ang,11,ang
kikuguti_ang_au_cl_1_0,ang,11,ang
sirakura_ang_au_cl_3_0,ang,11,ang
nakatakuma_ang_au_cl_2_0,ang,11,ang
nishio_dis_au_cl_3_0,dis,11,dis
ota_dis_au_cl_1_0,dis,11,dis
koyama_dis_au_cl_2_0,dis,11,dis
iwagami_dis_au_cl_1_0,dis,11,dis
henmi_dis_au_cl_1_0,dis,11,dis
kikuguti_dis_au_cl_4_0,dis,11,dis
sirakura_dis_au_cl_1_0,dis,11,fea
nakatakuma_dis_au_cl_1_0,dis,11,dis
nishio_fea_au_mouth_2_0,fea,11,fea
ota_fea_fr_2_0,fea,11,fea
koyama_fea_fr_2_0,fea,11,sur
iwagami_fea_au_mouth_1_0,fea,11,dis
henmi_fea_au_mouth_2_0,fea,11,fea
kikuguti_fea_au_mouth_1_0,fea,11,fea
sirakura_fea_fr_2_0,fea,11,sad
nakatakuma_fea_fr_1_0,fea,11,sur
nishio_hap_au_du_1_0,hap,11,hap
ota_hap_au_du_1_0,hap,11,hap
koyama_hap_au_du_1_0,hap,11,hap
iwagami_hap_au_du_2_0,hap,11,hap
henmi_hap_au_du_1_0,hap,11,hap
kikuguti_hap_au_du_4_0,hap,11,hap
sirakura_hap_au_du_2_0,hap,11,hap
nakatakuma_hap_au_du_1_0,hap,11,hap
nishio_sad_au_1_0,sad,11,sad
ota_sad_au_mouth_1_0,sad,11,sad
koyama_sad_au_mouth_1_0,sad,11,sad
iwagami_sad_au_mouth_3_0,sad,11,sad
henmi_sad_au_mouth_3_0,sad,11,sad
kikuguti_sad_au_1_0,sad,11,sad
sirakura_sad_au_mouth_1_0_130,sad,11,sad
